,key,Inclusion decision,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
4869,rayyan-1101986634,Include,New insights into the status of the Hawaiian Petrel on Kauai,1997.0,1,1,,0738-6028,20.0,1.0,24-30,"Ainley, DG and Podolsky, R and DeForest, L and Spencer, G",,,,,"We present new information, on the basis of observations and an analysis of existing but unpublished data, regarding the present status of the Hawaiian Petrel on Kauai. A consistently used rafting area just offshore of Hanalei, on the north shore of Kauai, is described for the first time. Observations made there in June and July 1993 and 1994, indicate that the population frequenting breeding colonies, on the order of >1000 birds per night during the peak of the visitation cycle, is much larger than previously thought. In contrast, few sigh tings of this species were made elsewhere around the island. Corroborating these observations were records collected by state and federal biologists on fledglings attracted to lights during their initial flight, 1980-1993, indicating a virtual confinement of the population to the north shore. Data presented also indicate that the nesting season on Kauai may be a few weeks later than on Maui, the only locale where extensive research has been conducted on this species. On Kauai, increasing numbers of Hawaiian Petrel fledglings are being found each year. We propose that this is a result of the increasing numbers of coastal lights, and not an increase in the petrel's population. The increasing numbers found have implications for conservation of this species' population on Kauai.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
8842,rayyan-1101990674,Include,Japanese quail thrive best under green or red light,2016.0,1,1,,1758-1559,9.0,3.0,214-214,[Anonymous],,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Coturnix,,
6694,rayyan-1101988526,Include,Artificial light at night potentially alters feeding behaviour of the native southern black-backed gull (Larus dominicanus),2016.0,1,1,,0029-4470,63.0,1.0,37-39,"Pugh, Andrew R. and Pawson, Stephen M.",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Back;African Continental Ancestry Group,,
8619,rayyan-1101990451,Include,LED lights reduce seabird death toll from fishing,2018.0,1,1,,0025-326X,134.0,,228-229,[Anonymous],,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
10080,rayyan-1101991912,Include,Interupted night-lighting with pheasants,1938.0,1,1,,0012-9658,19.0,2.0,181-187,"Bissonnette, TH and Csech, AG",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
4063,rayyan-1101985828,Include,MANAGEMENT OF STORK ACTIVITIES IN EQUIPMENT OF ELECTRIC DISTRIBUTION POWER NETWORKS,2013.0,1,1,,1582-9596,12.0,12.0,2311-2321,"Araujo, Pedro M. M. and Maricato, Luis M. G. and Loureiro, Joao R. and Batista, Jorge M. M. C. P. and Ramos, Jaime A. and Carreira, Pedro J. G. and Magalhaes-Alves, Joao M. and Mendes, Nuno M. S. C. and de Almeida, Anibal T. and Madeira, Vitor M. C.",,,,,"White Storks (Ciconia ciconia L.) may cause severe outages in electric networks leading to poor power quality service. Furthermore, bird fatalities often occur as consequence of electrocution. Therefore, equipment damages, economical losses of industry and electric corporations and bird deaths persuaded the main electric distribution operator and the regulator to implement management programs of storks' activities in the vicinity of electric distribution substructure to minimize stork fatalities and energy outages. Stork management in electric distribution networks is implemented by using sounds, strobes, vibration and turbine devices. These systems are activated upon storks approaching the putative nesting sites. The storks are detected by ultrasonic sensor probes. Sound equipment was modified as specifically required to allow remote control and monitoring via Internet connection. Particularly effective were strong harassment sounds, e.g. guns, alarms, sirens, and dynamic powerful musical passages. Natural distress calls of herons and egrets were also effective. Ultrasonic frequencies, predator sounds (falcons, hawks) and general bird distress calls (gulls, pigeons, starlings) were of limited effects. To keep birds from adapting to routine patterns, the devices were activated only upon approaching detected by ultrasonic probes, and a random combination of 8 sound pieces played for 10 min. Novel vibration platforms proved effective in preventing nesting and roosting, but relatively difficult to install with the current prototype design. Specially designed powered turbines powered by a high torque motor effectively prevented storks from nesting, in spite of several attempts.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
6546,rayyan-1101988378,Include,Waddling on the Dark Side: Ambient Light Affects Attendance Behavior of Little Penguins,2016.0,1,1,,0748-7304,31.0,2.0,194-204,"Rodriguez, Airam and Chiaradia, Andre and Wasiak, Paula and Renwick, Leanne and Dann, Peter",,,,,"Visible light on Earth largely comes from the sun, including light reflected from the moon. Predation risk is strongly determined by light conditions, and some animals are nocturnal to reduce predation. Artificial lights and its consequent light pollution may disrupt this natural behavior. Here, we used 13 years of attendance data to study the effects of sun, moon, and artificial light on the attendance pattern of a nocturnal seabird, the little penguin Eudyptula minor at Phillip Island, Australia. The little penguin is the smallest and the only penguin species whose activity on land is strictly nocturnal. Automated monitoring systems recorded individually marked penguins every time they arrived (after sunset) at or departed (before sunrise) from 2 colonies under different lighting conditions: natural night skylight and artificial lights (around 3 lux) used to enhance penguin viewing for ecotourism around sunset. Sunlight had a strong effect on attendance as penguins arrived on average around 81 min after sunset and departed around 92 min before sunrise. The effect of moonlight was also strong, varying according to moon phase. Fewer penguins came ashore during full moon nights. Moon phase effect was stronger on departure than arrival times. Thus, during nights between full moon and last quarter, arrival times (after sunset) were delayed, even though moonlight levels were low, while departure times (before sunrise) were earlier, coinciding with high moonlight levels. Cyclic patterns of moon effect were slightly out of phase but significantly between 2 colonies, which could be due to site-specific differences or presence/absence of artificial lights. Moonlight could be overridden by artificial light at our artificially lit colony, but the similar amplitude of attendance patterns between colonies suggests that artificial light did not mask the moonlight effect. Further research is indeed necessary to understand how seabirds respond to the increasing artificial night light levels.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
8406,rayyan-1101990238,Include,Gray vs. green urbanization: Relative importance of urban features for urban bird communities,2011.0,1,1,,1439-1791,12.0,4.0,372-381,"MacGregor-Fors, Ian and Schondube, Jorge E.",,,,,"Habitat structure and complexity are two main components determining bird community diversity. Although a wide array of components contribute to the physiognomy of urban habitats, our knowledge of the habitat features that affect bird communities within urban areas is biased to vegetation. In this study, we measured 33 habitat characteristics that describe the spatial distribution of urban components, habitat structure, biological heterogeneity, potential hazards for birds, housing density, and socioeconomic level of three neotropical cities to define the relative role that vegetation and non-vegetation habitat features have on abundant, moderately abundant, and rare bird species. Our results show that bird species richness and abundances are positively related to vegetation cover and human prosperity, and negatively related to highly developed urban areas with intense human activities and high abundance of cats and dogs. We found six urban infrastructure variables related to bird species richness and abundances: (a) number of electric and telephone cables, lighting rods, and building height were positively related to abundant species, (b) electric and telephone poles and building cover were negatively related to moderately abundant species, and (c) lamp poles were negatively related to rare species, while electric and telephone poles were positively related. Our results revealed that abundant bird species were only related to urban infrastructure features (i.e., cables, lightning rods, building height), while moderately abundant and rare species were related to habitat structure and urban-related hazards, showing that life-history traits affect how species respond to urbanization. Based on our study, we suggest some urban management and planning policies, including: the increase of tree and shrub cover throughout cities, allowing shrubs and herbs to grow in areas restricted to pedestrians, controlling homeless dogs and restricting off-leash dogs, and considering the need of homogenizing the ecological quality throughout cities, regardless of socioeconomic boundaries.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
5221,rayyan-1101986986,Include,"A long-term retrospective study on rehabilitation of seabirds in Gran Canaria Island, Spain (2003-2013)",2017.0,1,1,,1932-6203,12.0,5.0,-,"Montesdeoca, Natalia and Calabuig, Pascual and Corbera, Juan A. and Oros, Jorge",,,,,"Aims The aims of this study were to analyze the causes of morbidity and mortality in a large population of seabirds admitted to the Tafira Wildlife Rehabilitation Center (TWRC) in Gran Canaria Island, Spain, from 2003 to 2013, and to analyze the outcomes of the rehabilitation process. Methods We included 1,956 seabirds (133 dead on admission and 1,823 admitted alive) in this study. Causes of morbidity were classified into nine categories: light pollution (fallout), fishing gear interaction, crude oil, poisoning/intoxication, other traumas, metabolic/ nutritional disorder, orphaned young birds, other causes, and unknown/undetermined. The crude and stratified (by causes of admission) rates of the three final disposition categories (euthanasia Er, unassisted mortality M-r, and release R-r), the time until death, and the length of stay were also studied for the seabirds admitted alive. Results Yellow-legged Gull (Larus michahellis) was the species most frequently admitted (46.52%), followed by Cory's Shearwater (Calonectris diomedea borealis) (20.09%). The most frequent causes of morbidity were light pollution (fallout) (25.81%), poisoning/intoxication (24.69%), and other traumas (18.14%). The final disposition rates were: E-r = 15.35%, M-r = 16.29%, and R-r = 68.34%. The highest E-r was observed in the 'other traumas' category (58.08%). Seabirds admitted due to metabolic/ nutritional disorder had the highest M-r (50%). The highest R-r was observed in the light pollution (fallout) category (99.20%). Conclusions This survey provides useful information for the conservation of several seabird species. We suggest that at least the stratified analysis by causes of admission of the three final disposition rates, and the parameters time until death and length of stay at the center should be included in the outcome research of the rehabilitation of seabirds. The high release rate for seabirds (68.34%) achieved at the TWRC emphasizes the importance of wildlife rehabilitation centers for the conservation of seabirds.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Retrospective Studies;Spain,,
11163,rayyan-1101992995,Include,"VISUAL INFORMATION AND APPROACH BEHAVIOR IN GENETICALLY MANIPULATED QUAIL CHICKS - PREFERENCE HIERARCHIES AND INTERACTIONS OF FLASH RATE, FLASH AMPLITUDE, LUMINANCE, AND COLOR",1980.0,1,1,,0021-9940,94.0,1.0,178-199,"KOVACH, JK",,,,,,,,Color,,
2851,rayyan-1101984616,Include,Magnetic compass orientation of European robins under 565 nm green light,2001.0,1,1,,0028-1042,88.0,9.0,387-390,"Wiltschko, W and Gesson, M and Wiltschko, R",,,,,"European robins tested under monochromatic green light with a peak wavelength of 565 nm at an intensity of 2.1 mW m(-2) in the local geomagnetic field preferred their migratory direction, heading southward in autumn and northward in spring. Inverting of the vertical component of the magnetic field caused the robins to reverse their headings, indicating that the birds used a magnetic inclination compass to locate their migratory direction. The behavior recorded under green light at an intensity of 2.1 MW m-2 is thus not different from that previously recorded under ""white"" light; it represents normal migratory orientation.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
6958,rayyan-1101988790,Include,"Lapland Longspur Mortality at an Oil Well Drilling Rig Site, Laramie County, Wyoming",2015.0,1,1,,1938-5463,39.0,1.0,165-168,"Ramirez, Pedro, Jr. and Dickerson, Kimberly and Lindstrom, Jim and Meteyer, Carol U. and Darrah, Scott",,,,,"Two hundred fifty-one Lapland longspur (Calcarius lapponicus) carcasses were recovered around an oil well drilling rig in Laramie County, Wyoming, USA, on December 13-14, 2010, apparent victims of a winter storm and light entrapment from the lights on the drilling rig during foggy conditions. We found Lapland longspur carcasses distributed around the drilling rig from 33m to 171m. Investigators did not find evidence of bird carcasses on the drilling rig deck or equipment immediately adjacent to the drilling rig. We ruled out chemical toxins and disease as a cause of mortality. Weather conditions, the circular depositional pattern of carcasses around the drilling rig, and bird necropsy results led investigators to conclude that the Lapland longspur mortality was the result of the migrating birds entering the area illuminated by the drilling rig lights in freezing fog and the birds repeatedly circling the drilling rig until they fell to the ground in exhaustion and dying from subsequent trauma. Further research is needed to understand how to most effectively adjust lighting of onshore drilling rigs to reduce the potential for avian light entrapment. Published 2014. This article is a U.S. Government work and is in the public domain in the USA.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
6440,rayyan-1101988272,Include,The effect of artificial light on wildlife use of a passage structure,2016.0,1,1,,0006-3207,199.0,,25-28,"Bliss-Ketchum, Leslie L. and de Rivera, Catherine E. and Turner, Brian C. and Weisbaum, Dolores M.",,,,,"Barriers to animal movement can isolate populations, impacting their genetic diversity, susceptibility to disease, and access to resources. Barriers to movement may be caused by artificial light, which is known to disrupt bird, sea turtle, and bat behavior, but few studies have experimentally investigated the effects of artificial light on movement for a suite of terrestrial vertebrates. Therefore, we studied the effect of ecological light pollution on animal usage of a bridge under-road passage structure. On a weekly basis, sections of the structure were subjected to different light treatments including no light added, followed by a Reference period when lights were off in all the structure sections. Sand track data revealed use by 23 mammals, birds, reptiles and amphibians, nine of which had >30 tracks for species-level analysis. Columbia black-tailed deer (Odocoileus hemionus columbianus) traversed under unlit bridge sections much less when neighboring sections were lit compared to when none were, suggesting avoidance due to any nearby presence of artificial light. Similarly, deer mouse (Peromyscus maniculatus) and opossum (Didelphis virginiana) track paths were less frequent in the lit sections than the ambient. Crossing was correlated with temporal or spatial factors but not light for three of the other species. These findings suggest that artificial light may be reducing habitat connectivity for some species though not providing a strong barrier for others. Such information is needed to inform mitigation of habitat fragmentation in the face of expanding urbanization. (C) 2016 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
